Unnamed: 0,Canadian Experience Class,15,40,145,100,65,85,225,35,90,55,65.1,0
,Federal Skilled Trades,15,10,0,0,0,0,0,0,0,0,0,0
,Federal Skilled Worker,30,30,60,60,40,35,10,5,35,35,70,0
,Provincial Nominee Program,0,5,15,35,40,45,45,305,135,200,245,0
Newfoundland and Labrador Total,,60,85,220,190,140,165,280,345,260,290,380,0
,Canadian Experience Class,5,20,95,75,45,65,485,25,45,35,55,0
,Federal Skilled Trades,0,--,--,--,0,0,0,0,0,0,0,0
,Federal Skilled Worker,5,--,35,15,20,5,5,--,10,40,75,0
,Provincial Nominee Program,120,445,280,310,435,380,260,385,425,275,220,0
Prince Edward Island Total,,135,470,410,400,495,450,750,415,480,350,350,0
,Canadian Experience Class,50,85,335,330,275,335,"1,525",220,575,545,455,0
,Federal Skilled Trades,5,5,--,--,0,0,0,0,0,0,0,0
,Federal Skilled Worker,105,50,230,195,165,125,50,40,185,165,280,0
,Provincial Nominee Program,495,"1,050",980,"1,190","1,190","1,245","1,540","1,620","1,420",920,615,0
Nova Scotia Total,,650,"1,185","1,545","1,715","1,630","1,705","3,120","1,880","2,180","1,630","1,350",0
,Canadian Experience Class,20,40,185,155,130,190,590,85,270,210,295,0
,Federal Skilled Trades,--,--,--,0,0,0,0,0,0,0,0,0
,Federal Skilled Worker,30,25,110,120,115,125,85,90,710,"1,245","1,775",0
,Provincial Nominee Program,90,480,595,540,470,535,805,775,"1,175","1,370",665,0
New Brunswick Total,,140,550,890,815,715,850,"1,475",950,"2,160","2,825","2,735",0
,Canadian Experience Class,"1,840","4,140","19,100","15,945","16,805","30,520","54,695","8,995","28,900","30,975","20,975",10
,Federal Skilled Trades,200,175,75,80,30,65,0,0,0,--,0,0
,Federal Skilled Worker,"4,660","3,960","21,400","27,015","24,100","15,945","6,390","3,765","14,935","14,255","18,315",5
,Provincial Nominee Program,645,"1,895","4,380","3,535","3,135","4,220","4,235","5,170","7,390","12,425","2,795",0
,Not Stated,0,0,0,0,0,0,--,0,0,0,0,0
Ontario Total,,"7,345","10,170","44,955","46,580","44,075","50,750","65,325","17,930","51,225","57,655","42,090",20
,Canadian Experience Class,50,60,310,375,360,410,925,125,345,320,335,0
,Federal Skilled Trades,10,15,--,--,--,0,0,0,0,0,0,0
,Federal Skilled Worker,75,85,310,340,400,310,90,80,380,575,910,0
,Provincial Nominee Program,105,25,15,360,850,780,915,"1,995","1,745","2,425","1,145",0
Manitoba Total,,235,185,630,"1,070","1,610","1,495","1,930","2,195","2,470","3,320","2,395",0
,Canadian Experience Class,115,110,430,425,310,370,850,100,310,245,215,0
,Federal Skilled Trades,30,25,5,--,--,0,0,0,0,0,0,0
,Federal Skilled Worker,110,70,345,345,240,150,85,40,200,230,290,0
,Provincial Nominee Program,300,"1,245",470,850,825,"1,540","1,025","1,235","1,100",580,345,0
Saskatchewan Total,,555,"1,455","1,255","1,625","1,370","2,060","1,960","1,375","1,610","1,050",850,0
,Canadian Experience Class,"4,635","3,285","3,045","1,850","1,670","2,450","5,815",705,"2,355","2,695","2,380",--
,Federal Skilled Trades,"1,385",535,70,65,15,10,0,0,0,0,0,0
,Federal Skilled Worker,"1,970","1,250","2,435","2,785","2,530","1,905",670,565,"2,815","3,055","4,015",--
,Provincial Nominee Program,0,--,25,110,"2,745","1,870","1,750","3,385","3,805","2,050","1,450",--
Alberta Total,,"7,990","5,070","5,575","4,810","6,960","6,235","8,235","4,655","8,980","7,800","7,845",5
,Canadian Experience Class,"1,295","2,530","5,535","5,780","5,925","10,195","20,500","2,650","8,525","8,745","6,480",--
,Federal Skilled Trades,200,540,190,155,70,120,0,0,--,--,0,0
,Federal Skilled Worker,"1,665","1,490","4,150","5,335","5,030","3,545","1,265",605,"2,425","1,410","1,335",--
,Provincial Nominee Program,"1,220","1,965","2,315","3,170","3,505","3,490","3,095","4,240","5,330","4,740","2,260",--
British Columbia Total,,"4,380","6,520","12,190","14,445","14,530","17,350","24,860","7,500","16,280","14,895","10,075",5
,Canadian Experience Class,--,--,20,15,20,25,85,10,20,20,35,0
,Federal Skilled Trades,0,0,0,--,0,0,0,0,0,0,0,0
,Federal Skilled Worker,5,5,10,10,10,10,--,5,15,15,35,0
,Provincial Nominee Program,0,5,10,20,15,10,10,25,30,40,35,0
Yukon Total,,10,15,40,50,40,45,95,40,65,80,105,0
,Canadian Experience Class,15,10,20,20,25,15,50,15,15,15,35,0
,Federal Skilled Trades,--,--,--,0,0,0,0,0,0,0,0,0
,Federal Skilled Worker,10,5,5,5,--,--,--,5,--,10,30,0
,Provincial Nominee Program,5,15,10,10,15,15,5,15,25,70,80,0
Northwest Territories Total,,30,35,35,35,40,30,60,35,45,95,140,0
,Canadian Experience Class,5,--,--,--,5,10,15,5,5,10,10,0
,Federal Skilled Trades,0,0,0,0,0,--,0,0,0,0,0,0
,Federal Skilled Worker,--,0,--,--,5,--,0,--,--,5,45,0
Nunavut Total,,10,--,--,--,10,10,15,5,10,15,55,0
Province/Territory not stated Total,,--,--,--,0,--,0,--,--,0,0,0,0
Total,,"21,545","25,740","67,750","71,740","71,615","81,145","108,105","37,335","85,760","90,005","68,375",30
Canadian Experience Class,,"8,045","10,320","29,215","25,075","25,630","44,665","85,755","12,975","41,455","43,870","31,335",15
Federal Skilled Trades,,"1,845","1,315",345,315,120,195,0,0,--,--,0,0
Federal Skilled Worker,,"8,680","6,975","29,100","36,225","32,650","22,160","8,655","5,200","21,730","21,045","27,175",10
Provincial Nominee Program,,"2,975","7,130","9,090","10,130","13,220","14,125","13,690","19,160","22,575","25,090","9,860",--
Not Stated,,0,0,0,0,0,0,--,0,0,0,0,0
Total - All Categories,,"21,545","25,740","67,750","71,740","71,615","81,145","108,105","37,335","85,760","90,005","68,375",30
Newfoundland and Labrador,,60,85,220,190,140,165,280,345,260,290,380,0
Prince Edward Island,,135,470,410,400,495,450,750,415,480,350,350,0
Nova Scotia,,650,"1,185","1,545","1,715","1,630","1,705","3,120","1,880","2,180","1,630","1,350",0
New Brunswick,,140,550,890,815,715,850,"1,475",950,"2,160","2,825","2,735",0
Ontario,,"7,345","10,170","44,955","46,580","44,075","50,750","65,325","17,930","51,225","57,655","42,090",20
Manitoba,,235,185,630,"1,070","1,610","1,495","1,930","2,195","2,470","3,320","2,395",0
Saskatchewan,,555,"1,455","1,255","1,625","1,370","2,060","1,960","1,375","1,610","1,050",850,0
Alberta,,"7,990","5,070","5,575","4,810","6,960","6,235","8,235","4,655","8,980","7,800","7,845",5
British Columbia,,"4,380","6,520","12,190","14,445","14,530","17,350","24,860","7,500","16,280","14,895","10,075",5
Yukon,,10,15,40,50,40,45,95,40,65,80,105,0
Northwest Territories,,30,35,35,35,40,30,60,35,45,95,140,0
Nunavut,,10,--,--,--,10,10,15,5,10,15,55,0
Province/Territory not stated,,--,--,--,0,--,0,--,--,0,0,0,0
Total - All Canada,,"21,545","25,740","67,750","71,740","71,615","81,145","108,105","37,335","85,760","90,005","68,375",30
"* Express Entry candidates invited to apply and who subsequently applied for permanent residence.

Notes: 
— Please note that all values between 0 and 5 are shown as “--”. This is done to prevent individuals from being identified when IRCC data is compiled and compared to other publicly available statistics. All other values are rounded to the closest multiple of 5 for the same reason; as a result of rounding, data may not sum to the totals indicated.
— Data are prelimnary and subject to change.
— The Express Entry system determines which programs foreign nationals qualify for based on the information they provide and awards them points under the Comprehensive Ranking System for their ability to successfully enter the Canadian work force (e.g. age, education, official language proficiency and work experience).
— The Province of Quebec does not use Express Entry. They select their own skilled workers. See Quebec-selected skilled workers to find out more.",,,,,,,,,,,,,
"Source: IRCC, January 31, 2026",,,,,,,,,,,,,
