permit_holders,sign_year,permit_type_level1_eng_desc,classification_level1_eng_desc,age_english_desc
175,2000,Work permit holder,International Mobility Program Participants,0 to 14 years old
30860,2000,Work permit holder,International Mobility Program Participants,15 to 29 years old
26900,2000,Work permit holder,International Mobility Program Participants,30 to 44 years old
12700,2000,Work permit holder,International Mobility Program Participants,45 to 59 years old
1905,2000,Work permit holder,International Mobility Program Participants,60 to 74 years old
105,2000,Work permit holder,International Mobility Program Participants,75 years old or more
400,2000,Work permit holder,International Mobility Program Participants,Age not stated
100,2001,Work permit holder,International Mobility Program Participants,0 to 14 years old
31190,2001,Work permit holder,International Mobility Program Participants,15 to 29 years old
27665,2001,Work permit holder,International Mobility Program Participants,30 to 44 years old
13165,2001,Work permit holder,International Mobility Program Participants,45 to 59 years old
1985,2001,Work permit holder,International Mobility Program Participants,60 to 74 years old
105,2001,Work permit holder,International Mobility Program Participants,75 years old or more
420,2001,Work permit holder,International Mobility Program Participants,Age not stated
60,2002,Work permit holder,International Mobility Program Participants,0 to 14 years old
31495,2002,Work permit holder,International Mobility Program Participants,15 to 29 years old
24660,2002,Work permit holder,International Mobility Program Participants,30 to 44 years old
11210,2002,Work permit holder,International Mobility Program Participants,45 to 59 years old
1585,2002,Work permit holder,International Mobility Program Participants,60 to 74 years old
70,2002,Work permit holder,International Mobility Program Participants,75 years old or more
280,2002,Work permit holder,International Mobility Program Participants,Age not stated
125,2003,Work permit holder,International Mobility Program Participants,0 to 14 years old
31040,2003,Work permit holder,International Mobility Program Participants,15 to 29 years old
19890,2003,Work permit holder,International Mobility Program Participants,30 to 44 years old
8645,2003,Work permit holder,International Mobility Program Participants,45 to 59 years old
1280,2003,Work permit holder,International Mobility Program Participants,60 to 74 years old
50,2003,Work permit holder,International Mobility Program Participants,75 years old or more
205,2003,Work permit holder,International Mobility Program Participants,Age not stated
85,2004,Work permit holder,International Mobility Program Participants,0 to 14 years old
37785,2004,Work permit holder,International Mobility Program Participants,15 to 29 years old
22150,2004,Work permit holder,International Mobility Program Participants,30 to 44 years old
9120,2004,Work permit holder,International Mobility Program Participants,45 to 59 years old
1370,2004,Work permit holder,International Mobility Program Participants,60 to 74 years old
50,2004,Work permit holder,International Mobility Program Participants,75 years old or more
205,2004,Work permit holder,International Mobility Program Participants,Age not stated
135,2005,Work permit holder,International Mobility Program Participants,0 to 14 years old
42905,2005,Work permit holder,International Mobility Program Participants,15 to 29 years old
23915,2005,Work permit holder,International Mobility Program Participants,30 to 44 years old
