EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	0 to 14 years old	0 à 14 ans	490
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	15 to 29 years old	15 à 29 ans	705
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	30 to 44 years old	30 à 44 ans	1110
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	45 to 59 years old	45 à 59 ans	260
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	60 to 74 years old	60 à 74 ans	70
2015	Q1	Feb	2015	T1	fév.	Alberta	Alberta	75 years old or more	75 ans et plus	10
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	0 to 14 years old	0 à 14 ans	285
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	15 to 29 years old	15 à 29 ans	635
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	30 to 44 years old	30 à 44 ans	795
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	45 to 59 years old	45 à 59 ans	260
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	60 to 74 years old	60 à 74 ans	100
2015	Q1	Feb	2015	T1	fév.	British Columbia	Colombie-Britannique	75 years old or more	75 ans et plus	15
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	0 to 14 years old	0 à 14 ans	230
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	15 to 29 years old	15 à 29 ans	305
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	30 to 44 years old	30 à 44 ans	310
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	45 to 59 years old	45 à 59 ans	60
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	60 to 74 years old	60 à 74 ans	15
2015	Q1	Feb	2015	T1	fév.	Manitoba	Manitoba	75 years old or more	75 ans et plus	--
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	0 to 14 years old	0 à 14 ans	60
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	15 to 29 years old	15 à 29 ans	50
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	30 to 44 years old	30 à 44 ans	70
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	45 to 59 years old	45 à 59 ans	50
2015	Q1	Feb	2015	T1	fév.	New Brunswick	Nouveau-Brunswick	60 to 74 years old	60 à 74 ans	--
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	0 to 14 years old	0 à 14 ans	10
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	15 to 29 years old	15 à 29 ans	20
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	30 to 44 years old	30 à 44 ans	40
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	45 to 59 years old	45 à 59 ans	5
2015	Q1	Feb	2015	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	60 to 74 years old	60 à 74 ans	--
2015	Q1	Feb	2015	T1	fév.	Northwest Territories	Territoires du Nord-Ouest	30 to 44 years old	30 à 44 ans	--
2015	Q1	Feb	2015	T1	fév.	Nova Scotia	Nouvelle-Écosse	0 to 14 years old	0 à 14 ans	40
2015	Q1	Feb	2015	T1	fév.	Nova Scotia	Nouvelle-Écosse	15 to 29 years old	15 à 29 ans	55
2015	Q1	Feb	2015	T1	fév.	Nova Scotia	Nouvelle-Écosse	30 to 44 years old	30 à 44 ans	65
2015	Q1	Feb	2015	T1	fév.	Nova Scotia	Nouvelle-Écosse	45 to 59 years old	45 à 59 ans	25
2015	Q1	Feb	2015	T1	fév.	Nova Scotia	Nouvelle-Écosse	60 to 74 years old	60 à 74 ans	5
2015	Q1	Feb	2015	T1	fév.	Nunavut	Nunavut	0 to 14 years old	0 à 14 ans	--
2015	Q1	Feb	2015	T1	fév.	Nunavut	Nunavut	15 to 29 years old	15 à 29 ans	--
2015	Q1	Feb	2015	T1	fév.	Nunavut	Nunavut	30 to 44 years old	30 à 44 ans	--
2015	Q1	Feb	2015	T1	fév.	Ontario	Ontario	0 to 14 years old	0 à 14 ans	930
2015	Q1	Feb	2015	T1	fév.	Ontario	Ontario	15 to 29 years old	15 à 29 ans	1910
