EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_GENDER	FR_SEXE	TOTAL
2025	Q2	Apr	2025	T2	avr.	Quebec	Québec	Male	Hommes	2090
2025	Q2	Apr	2025	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	20
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Female	Femmes	8115
2018	Q3	Jul	2018	T3	juil.	Manitoba	Manitoba	Male	Hommes	590
2019	Q2	May	2019	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2019	Q2	May	2019	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	705
2017	Q3	Aug	2017	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	105
2015	Q1	Feb	2015	T1	fév.	Yukon	Yukon	Female	Femmes	10
2024	Q1	Jan	2024	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Male	Hommes	30
2019	Q3	Jul	2019	T3	juil.	Ontario	Ontario	Male	Hommes	8110
2015	Q3	Jul	2015	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	55
2016	Q2	May	2016	T2	mai	New Brunswick	Nouveau-Brunswick	Female	Femmes	155
2017	Q1	Feb	2017	T1	fév.	Saskatchewan	Saskatchewan	Female	Femmes	510
2022	Q2	May	2022	T2	mai	Manitoba	Manitoba	Male	Hommes	955
2025	Q2	Jun	2025	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	230
2020	Q2	Apr	2020	T2	avr.	Manitoba	Manitoba	Male	Hommes	125
2025	Q1	Mar	2025	T1	mars	Quebec	Québec	Male	Hommes	2245
2016	Q1	Jan	2016	T1	janv.	Saskatchewan	Saskatchewan	Male	Hommes	610
2017	Q3	Aug	2017	T3	août	Alberta	Alberta	Male	Hommes	1265
2019	Q3	Jul	2019	T3	juil.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2017	Q4	Dec	2017	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2025	Q4	Nov	2025	T4	nov.	Ontario	Ontario	Female	Femmes	5560
2020	Q1	Feb	2020	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	90
2017	Q4	Dec	2017	T4	déc.	Saskatchewan	Saskatchewan	Male	Hommes	400
2023	Q1	Feb	2023	T1	fév.	Yukon	Yukon	Female	Femmes	90
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Female	Femmes	1750
2020	Q1	Jan	2020	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	210
2023	Q1	Feb	2023	T1	fév.	Manitoba	Manitoba	Male	Hommes	1880
2020	Q2	May	2020	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	190
2015	Q4	Oct	2015	T4	oct.	Alberta	Alberta	Male	Hommes	2230
2020	Q2	May	2020	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	45
2022	Q1	Mar	2022	T1	mars	Manitoba	Manitoba	Female	Femmes	895
2018	Q1	Jan	2018	T1	janv.	New Brunswick	Nouveau-Brunswick	Male	Hommes	155
2022	Q1	Feb	2022	T1	fév.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	430
2018	Q2	Apr	2018	T2	avr.	Nunavut	Nunavut	Female	Femmes	--
2023	Q4	Dec	2023	T4	déc.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2016	Q2	Apr	2016	T2	avr.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2015	Q4	Dec	2015	T4	déc.	Yukon	Yukon	Female	Femmes	--
2018	Q2	Jun	2018	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	95
2020	Q4	Dec	2020	T4	déc.	Alberta	Alberta	Male	Hommes	635
2023	Q3	Aug	2023	T3	août	Yukon	Yukon	Female	Femmes	30
2024	Q2	Jun	2024	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	30
2024	Q2	May	2024	T2	mai	Manitoba	Manitoba	Male	Hommes	1435
2024	Q1	Feb	2024	T1	fév.	Saskatchewan	Saskatchewan	Female	Femmes	895
2015	Q3	Sep	2015	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Female	Femmes	50
2021	Q4	Dec	2021	T4	déc.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	610
2025	Q1	Mar	2025	T1	mars	Nova Scotia	Nouvelle-Écosse	Female	Femmes	395
2024	Q2	May	2024	T2	mai	Saskatchewan	Saskatchewan	Male	Hommes	1350
2018	Q4	Oct	2018	T4	oct.	Quebec	Québec	Another gender	Un autre genre	--
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2025	Q3	Jul	2025	T3	juil.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	--
2016	Q4	Dec	2016	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Male	Hommes	--
2018	Q2	May	2018	T2	mai	Ontario	Ontario	Male	Hommes	5915
2018	Q2	May	2018	T2	mai	British Columbia	Colombie-Britannique	Male	Hommes	1845
2021	Q1	Jan	2021	T1	janv.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	20
2016	Q3	Sep	2016	T3	sept.	Nova Scotia	Nouvelle-Écosse	Female	Femmes	155
2022	Q3	Jul	2022	T3	juil.	New Brunswick	Nouveau-Brunswick	Male	Hommes	620
2023	Q2	Jun	2023	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	220
2022	Q1	Feb	2022	T1	fév.	Yukon	Yukon	Female	Femmes	35
2021	Q4	Oct	2021	T4	oct.	British Columbia	Colombie-Britannique	Female	Femmes	4230
2016	Q1	Feb	2016	T1	fév.	Nunavut	Nunavut	Male	Hommes	--
2015	Q4	Dec	2015	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Female	Femmes	100
2016	Q3	Aug	2016	T3	août	Nunavut	Nunavut	Female	Femmes	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Female	Femmes	10
2015	Q4	Dec	2015	T4	déc.	Nunavut	Nunavut	Female	Femmes	--
2024	Q3	Aug	2024	T3	août	Saskatchewan	Saskatchewan	Male	Hommes	995
2021	Q3	Sep	2021	T3	sept.	Manitoba	Manitoba	Female	Femmes	725
2022	Q1	Jan	2022	T1	janv.	Yukon	Yukon	Male	Hommes	20
2024	Q4	Oct	2024	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Male	Hommes	115
2024	Q3	Aug	2024	T3	août	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	5
2024	Q3	Jul	2024	T3	juil.	Manitoba	Manitoba	Female	Femmes	1360
2021	Q4	Dec	2021	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Male	Hommes	200
2021	Q2	Jun	2021	T2	juin	Ontario	Ontario	Female	Femmes	8860
2021	Q4	Dec	2021	T4	déc.	Province/territory not stated	Province / territoire non déclaré(e)	Female	Femmes	5
2018	Q2	Apr	2018	T2	avr.	British Columbia	Colombie-Britannique	Another gender	Un autre genre	--
2022	Q3	Aug	2022	T3	août	Quebec	Québec	Another gender	Un autre genre	--
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Another gender	Un autre genre	--
2022	Q2	Jun	2022	T2	juin	New Brunswick	Nouveau-Brunswick	Female	Femmes	535
2016	Q4	Nov	2016	T4	nov.	Yukon	Yukon	Female	Femmes	10
2023	Q3	Jul	2023	T3	juil.	Saskatchewan	Saskatchewan	Female	Femmes	1245
2020	Q3	Jul	2020	T3	juil.	Alberta	Alberta	Female	Femmes	890
2015	Q3	Jul	2015	T3	juil.	Ontario	Ontario	Female	Femmes	5155
2024	Q4	Nov	2024	T4	nov.	Saskatchewan	Saskatchewan	Male	Hommes	705
2020	Q2	May	2020	T2	mai	Quebec	Québec	Male	Hommes	720
2021	Q3	Sep	2021	T3	sept.	Alberta	Alberta	Female	Femmes	2185
