EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2020	Q4	Dec	2020	T4	déc.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	60
2022	Q2	Apr	2022	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q1	Mar	2019	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2020	Q3	Aug	2020	T3	août	Male	Hommes	Other occupations	Autres occupations	7150
2024	Q3	Aug	2024	T3	août	Male	Hommes	Other occupations	Autres occupations	25315
2016	Q4	Dec	2016	T4	déc.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q1	Jan	2025	T1	janv.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2019	Q2	Apr	2019	T2	avr.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q4	Oct	2022	T4	oct.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q4	Dec	2022	T4	déc.	Female	Femmes	Other occupations	Autres occupations	20920
2015	Q4	Nov	2015	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2022	Q3	Aug	2022	T3	août	Male	Hommes	Other occupations	Autres occupations	27570
2016	Q1	Mar	2016	T1	mars	Male	Hommes	Other occupations	Autres occupations	11065
2023	Q4	Oct	2023	T4	oct.	Female	Femmes	Other occupations	Autres occupations	36160
2020	Q2	May	2020	T2	mai	Female	Femmes	Other occupations	Autres occupations	7005
2021	Q1	Mar	2021	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	60
2018	Q2	Jun	2018	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2019	Q3	Jul	2019	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2015	Q2	May	2015	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	30
2024	Q4	Nov	2024	T4	nov.	Female	Femmes	Other occupations	Autres occupations	23200
2015	Q4	Oct	2015	T4	oct.	Female	Femmes	Other occupations	Autres occupations	9625
2018	Q1	Mar	2018	T1	mars	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q3	Sep	2019	T3	sept.	Male	Hommes	Other occupations	Autres occupations	23250
