EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2025	Q2	Apr	2025	T2	avr.	Alberta	Alberta	Red Deer	Red Deer	10
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Prince Rupert	Prince Rupert	10
2016	Q4	Nov	2016	T4	nov.	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	5
2022	Q3	Jul	2022	T3	juil.	Ontario	Ontario	Oshawa	Oshawa	55
2021	Q4	Oct	2021	T4	oct.	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2024	Q1	Mar	2024	T1	mars	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2018	Q1	Jan	2018	T1	janv.	Manitoba	Manitoba	Thompson	Thompson	--
2020	Q4	Dec	2020	T4	déc.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	120
2020	Q2	Apr	2020	T2	avr.	Ontario	Ontario	Barrie	Barrie	125
2022	Q1	Jan	2022	T1	janv.	Ontario	Ontario	Norfolk	Norfolk	10
2021	Q3	Jul	2021	T3	juil.	British Columbia	Colombie-Britannique	Abbotsford - Mission	Abbotsford - Mission	55
2016	Q2	Apr	2016	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	25
2020	Q3	Sep	2020	T3	sept.	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	--
2019	Q2	Jun	2019	T2	juin	Saskatchewan	Saskatchewan	Regina	Regina	40
2016	Q2	May	2016	T2	mai	Quebec	Québec	Sherbrooke	Sherbrooke	10
2020	Q3	Aug	2020	T3	août	New Brunswick	Nouveau-Brunswick	Moncton	Moncton	25
2017	Q4	Oct	2017	T4	oct.	Ontario	Ontario	Oshawa	Oshawa	30
